Date,last_price
2009-02-02,7.0
2009-02-03,7.1
2009-02-04,7.0
2009-02-05,6.9
2009-02-06,6.95
2009-02-09,6.85
2009-02-10,6.8
2009-02-11,6.6
2009-02-12,6.4
2009-02-13,6.3
2009-02-16,6.4
2009-02-17,5.2
2009-02-18,6.0
2009-02-19,5.9
2009-02-20,5.7
2009-02-23,5.25
2009-02-24,5.0
2009-02-25,4.95
2009-02-26,5.0
2009-02-27,4.8
2009-03-02,4.6
2009-03-03,4.7
2009-03-04,4.65
2009-03-05,4.9
2009-03-06,4.9
2009-03-09,4.7
2009-03-10,4.65
2009-03-11,4.75
2009-03-12,4.55
2009-03-13,4.4
2009-03-16,4.5
2009-03-17,4.65
2009-03-18,4.55
2009-03-19,4.6
2009-03-20,4.7
2009-03-23,4.75
2009-03-24,4.8
2009-03-25,4.7
2009-03-26,4.6
2009-03-27,4.7
2009-03-30,4.4
2009-03-31,4.4
2009-04-01,4.3
2009-04-02,4.5
2009-04-03,4.4
2009-04-06,4.35
2009-04-07,4.3
2009-04-08,4.35
2009-04-09,4.25
2009-04-13,4.3
2009-04-14,4.1
2009-04-15,4.1
2009-04-16,4.1
2009-04-17,4.15
2009-04-20,4.0
2009-04-21,3.9
2009-04-22,4.0
2009-04-23,4.1
2009-04-24,4.1
2009-04-27,4.0
2009-04-28,3.9
2009-04-29,3.8
2009-04-30,3.8
2009-05-04,3.7
2009-05-05,3.7
2009-05-06,3.8
2009-05-07,3.95
2009-05-08,3.9
2009-05-11,3.8
2009-05-12,3.8
2009-05-13,3.9
2009-05-14,3.8
2009-05-15,3.8
2009-05-18,3.9
2009-05-19,4.0
2009-05-20,4.0
2009-05-21,3.9
2009-05-22,3.85
2009-05-25,3.78
2009-05-26,3.65
2009-05-27,3.83
2009-05-28,3.85
2009-05-29,4.08
2009-06-01,4.05
2009-06-02,4.1
2009-06-03,4.15
2009-06-04,4.1
2009-06-05,4.0
2009-06-08,4.0
2009-06-09,3.9
2009-06-10,4.0
2009-06-11,4.1
2009-06-12,3.98
2009-06-15,3.925
2009-06-16,4.225
2009-06-17,4.28
2009-06-18,4.38
2009-06-19,4.28
2009-06-22,4.225
2009-06-23,4.28
2009-06-24,4.38
2009-06-25,4.28
2009-06-26,4.3
2009-06-29,4.25
2009-06-30,4.35
2009-07-01,4.15
2009-07-02,4.25
2009-07-03,4.175
2009-07-06,4.13
2009-07-07,4.2
2009-07-08,4.3
2009-07-09,4.3
2009-07-10,4.2
2009-07-13,4.0
2009-07-14,3.95
2009-07-15,4.08
2009-07-16,4.4
2009-07-17,4.5
2009-07-20,4.58
2009-07-21,4.65
2009-07-22,4.73
2009-07-23,4.77
2009-07-24,4.75
2009-07-27,4.8
2009-07-28,4.75
2009-07-29,4.7
2009-07-30,4.65
2009-07-31,4.6
2009-08-03,4.5
2009-08-04,4.65
2009-08-05,4.75
2009-08-06,4.7
2009-08-07,4.75
2009-08-11,4.95
2009-08-12,4.85
2009-08-13,4.88
2009-08-14,4.83
2009-08-17,5.0
2009-08-18,5.05
2009-08-19,5.15
2009-08-20,5.2
2009-08-21,5.2
2009-08-24,5.23
2009-08-25,5.23
2009-08-26,5.13
2009-08-27,5.275
2009-08-28,5.38
2009-08-31,5.23
2009-09-01,5.38
2009-09-02,5.23
2009-09-03,5.08
2009-09-04,5.08
2009-09-07,5.1
2009-09-08,5.0
2009-09-09,4.95
2009-09-10,5.0
2009-09-11,5.0
2009-09-14,4.95
2009-09-15,5.0
2009-09-16,5.3
2009-09-17,5.33
2009-09-18,5.35
2009-09-22,5.33
2009-09-23,5.28
2009-09-24,5.33
2009-09-25,5.3
2009-09-28,5.33
2009-09-29,5.38
2009-09-30,5.33
2009-10-01,5.23
2009-10-02,5.23
2009-10-05,5.3
2009-10-06,5.35
2009-10-07,5.37
2009-10-08,5.37
2009-10-09,5.37
2009-10-12,5.58
2009-10-13,5.65
2009-10-14,5.7
2009-10-15,5.73
2009-10-16,6.43
2009-10-19,6.4
2009-10-20,6.58
2009-10-21,6.78
2009-10-22,6.73
2009-10-23,6.78
2009-10-26,6.78
2009-10-27,6.93
2009-10-28,6.95
2009-10-29,7.1
2009-10-30,7.03
2009-11-02,7.0
2009-11-03,7.3
2009-11-04,7.5
2009-11-05,7.45
2009-11-06,7.4
2009-11-09,7.33
2009-11-10,7.28
2009-11-11,7.25
2009-11-12,7.25
2009-11-13,7.1
2009-11-16,7.4
2009-11-17,7.45
2009-11-18,7.4
2009-11-19,7.35
2009-11-20,7.3
2009-11-23,7.15
2009-11-24,7.1
2009-11-25,7.05
2009-11-26,7.05
2009-11-30,7.15
2009-12-01,7.05
2009-12-02,7.0
2009-12-03,7.0
2009-12-04,7.05
2009-12-07,7.0
2009-12-08,7.05
2009-12-09,7.0
2009-12-10,7.05
2009-12-11,7.1
2009-12-14,7.15
2009-12-15,7.2
2009-12-16,7.35
2009-12-17,7.3
2009-12-18,7.35
2009-12-21,7.4
2009-12-22,7.5
2009-12-23,7.55
2009-12-24,7.55
2009-12-28,7.3
2009-12-29,7.4
2009-12-30,7.5
2009-12-31,7.53
2010-01-04,7.6
2010-01-05,7.55
2010-01-06,7.45
2010-01-07,7.4
2010-01-08,7.5
2010-01-11,7.45
2010-01-12,7.58
2010-01-13,7.63
2010-01-14,7.68
2010-01-15,7.58
2010-01-18,7.43
