Timestamp,Title,Theme,Summary,last_price,return,volatility,next_day_price
2020-04-17,Fall of Natural Gas Prices Speeds Energy Shift in East Asia,Gas Markets,"When natural gas became as cheap as coal in the U.S., it spawned an energy transformation that drove many companies out of business while generating opportunities for others. East Asia’s biggest economies are now going through the same upheaval.",2.186,-0.08458961474036852,0.032919694899109474,2.175
2020-04-20,Coronavirus Contract Disputes Start Hitting the Courts,U.S.,Companies are suspending or terminating business agreements by relying on a common but rarely invoked escape hatch in many commercial contracts.,2.175,-0.005032021957914079,0.032736595613898675,2.04
2020-04-21,Shell Delays $1 Billion North Sea Development,Business,"Royal Dutch Shell has postponed its Jackdaw natural-gas field development in the North Sea, as energy companies slash spending in response to plummeting prices.",2.04,-0.06206896551724128,0.032822481851785094,2.0
2020-04-27,Ship Orders Crash as Coronavirus Takes a Toll on Seaborne Trade,Logistics Report,"The economic fallout from coronavirus restrictions helped cut investment in shipbuilding to its lowest level in 11 years in the first quarter, with work at Asian shipyards nearly halted and owners holding back on orders as global demand for goods nosedived.",1.9,-0.012987012987013102,0.03284119945653565,1.825
2020-05-12,The Daily Shot: Tepid Signs of Stabilization in Economic Activity,Dailyshot Blog,,2.438,0.04860215053763439,0.034200633742562346,2.45
2020-05-19,"The Daily Shot: Fund Managers Still Positioned Defensively, Fueling the Rally",Dailyshot Blog,,2.317,-0.029731993299832338,0.034240026635650116,2.173
2020-05-21,A Natural Gas Exec Turned His Colorado Ranch Into a ‘Mini Country Club.’ Now He’s Selling It for $220 Million.,Homes,"Egypt-born entrepreneur Charif Souki invested many millions into the 813-acre property, which includes a gym, a clubhouse and seven homes.",2.125,-0.022089277496548543,0.034200312884190544,1.887
2020-05-28,Global Glut Keeps a Lid on Natural-Gas Prices,Oil Markets,"Mild May weather has limited domestic demand, brimming storage facilities abroad have reduced exports and the flow from oil wells hasn’t declined by as much as expected.",1.938,0.013068478829064256,0.034856450119967186,1.938
2020-05-29,Natural Gas Is Losing Its Shine for Ship Operators,Shipping Matters,"The pandemic is hitting the market for natural gas hard, undercutting hopes for a rich new vein for profits on the water. It is making the business of transporting liquefied natural gas look more like other sectors that have been sending operators of oceangoing cargo ships through wild peaks and valleys.",1.938,0.0,0.034856450119967186,1.938
2020-06-03,The Daily Shot: Majority of U.S. Farmers Expect a Decline in Their Net Worth in the Next 12 Months,Dailyshot Blog,,2.024,-0.0004938271604937317,0.03490678894676433,2.025
2020-06-04,America’s Natural-Gas Woes Are Imported,Heard on the Street,Natural-gas inventories are bulging before summer has begun and neither domestic supply nor demand is the reason.,2.025,0.000494071146245112,0.03490713635428495,2.025
2020-06-15,"The Daily Shot: Risk-Off Sentiment Is Back, as Concerns About COVID-19 Progress Resurface",Dailyshot Blog,,2.1,0.0,0.034977493424048295,2.225
2020-06-15,"As Turkey Shunned Russian Gas, Its Companies Amassed Debt",World,"A string of Turkish companies have accumulated debt of about $2 billion to Russian state energy giant PAO Gazprom, according to people familiar with the matter, liability that could hinder Ankara’s drive to reduce its reliance on Russian natural gas, in part by boosting imports from the U.S.",2.1,0.0,0.034977493424048295,2.225
2020-06-30,"Shell Takes $22 Billion Write-Down, Expecting Lower Oil and Gas Prices",Commodities,Royal Dutch Shell is writing down the value of its assets by up to $22 billion because of lower energy prices following the demand-sapping coronavirus pandemic.,2.15,0.0117647058823529,0.03508647841199189,2.15
2020-07-02,Shipowners Line up for Total’s Mozambique LNG Project,Logistics Report,Some of the world’s biggest shipowners are lining up to move natural gas from Mozambique as French energy giant Total moves ahead with its $23 billion East Africa liquefaction project.,2.125,-0.011627906976744096,0.03505383361164835,2.125
2020-07-03,China Is Unlikely to Meet Purchase Targets for U.S. Energy,Economy,Economic fallout from the coronavirus pandemic has cast doubt on whether China can meet its targets to buy U.S. goods under this year’s trade deal—with energy emerging as the biggest casualty.,2.125,0.0,0.03500653229268444,2.125
2020-07-03,Companies Cancel Atlantic Coast Pipeline After Years of Delays,Business,Duke Energy and Dominion Energy are pulling the plug on the proposed $8 billion pipeline under the Appalachian Trail as companies continue to meet environmental opposition to new fossil fuel conduits in the U.S.,2.125,0.0,0.03500653229268444,2.125
2020-07-07,The World Can’t Take Much More Shale Gas,Gas Markets,"Natural-gas prices have bounced back from the 25-year low reached late last month, but analysts and traders don’t expect them to go much higher. At least until it is time to turn on the heat.",2.138,0.006117647058823561,0.034938257845186164,2.138
2020-07-21,The Daily Shot: 20% of U.S. Labor Force Receives Unemployment Benefits,Dailyshot Blog,,2.483,0.00812017864393022,0.03495205957892436,2.488
2020-07-24,Shipyards’ Rebound Hopes Are Coming Up Empty,Shipping Matters,Orders for new oceangoing ships are at record lows as carriers sit on the sidelines amid faltering trade demand during the pandemic and uncertainty over future ship-power technology.,2.563,0.0039169604386997126,0.03490909492113112,2.643
