Ticker,Name,Country/Region,Currency
PLLFLNJK PLDP Index,Platts LNG Japan/Korea Spot Crg,,
NBPG1MON OECM Index,UK NBP Natural Gas Forward M1,,
CO1 Comdty,Brent,,
NG1 COMB Comdty,Generic 1st 'NG' Future,,
CL1 COMB Comdty,WTI,,
XW1 Comdty,Newcastle Coal,,
LPXBHRBS Index,Germany Power,,
USGG10YR Index,US Generic Govt 10 Yr,,
USGG5YR Index,US Generic Govt 5 Yr,,
USGG2YR Index,US Generic Govt 2 Yr,,
GSLIQFPT Index,Freeport Feedgas,,
GSLIQSPI Index,Sabine Pass Feedgas,,
GSLIQCOV Index,Cove Point Feedgas,,
GSLIQCAM Index,Cameron Feedgas,,
GSLIQCCH Index,Corpus Christi,,
PEURJKCC Index,European Jet CIF NWE Cargo Swap,,
LQ12L001 Index,Asia Propane FEI CFR Cargo Swap,,
LQ31L003 Index,European ARA Propane CIF Cargo Swap,,
LPGFAGPP Index,Saudi Arabia CP Propane FOB Cargo Swap,,
PCRUDTB1 Index,European Crude Dated Brent (Platts) Financial,,
PCRUDUB1 Index,Middle East Crude Dubai (USD/bbl) Swap,,
PEURJKCC Index,Name European Jet CIF NWE Cargo Swap,,
CL1 Comdty,Generic 1st 'CL' Future,US,USD
CO1 Comdty,Generic 1st 'CO' Future,GB,USD
NG1 Comdty,Generic 1st 'NG' Future,US,USD
CLK4 Comdty,WTI CRUDE FUTURE  May24,US,USD
ISIX62IU Index,Iron Ore Spot Price Index 62%,CH,USD
TTFG1MON Index,Netherlands TTF Natural Gas Fo,NE,EUR
NGK24 Comdty,NATURAL GAS FUTR  May24,US,USD
XB1 Comdty,Generic 1st 'XB' Future,US,USD
COM4 Comdty,BRENT CRUDE FUTR  Jun24,GB,USD
XW1 Comdty,Generic 1st 'XW' Future,GB,USD
QSJ4 Comdty,Low Su Gasoil G   Apr24,GB,USD
L4CNMJGO Index,China Lithium Carbonate 99.5%,CH,CNY
HO1 Comdty,Generic 1st 'HO' Future,US,USD
QS1 Comdty,Generic 1st 'QS' Future,GB,USD
