Timestamp,Title,Theme,Summary
"April 5, 2024 8:47 am ET",Shell Sees Gas Output Above Guidance,Europe,Shell said it expects first quarter gas production to beat its previous guidance after a strong start to the year but earnings would be lower than the prior quarter.
"April 2, 2024 06:26 pm ET",Natural Gas Pioneer Charif Souki Ordered to Pay $100 Million in Damages to Lenders,Pro Bankruptcy,"The ruling stems from disputes with lenders who seized Souki’s assets, including his Colorado ranch, yacht and his shares in Tellurian, a Houston-based gas company he co-founded."
"March 31, 2024 11:41 am ET",Opinion: Green Shareholders Try to Sabotage America’s Energy Industry,Commentary,A wave of destructive proposals began after a 2020 briefing to the Biden transition team.
"March 31, 2024 05:30 am ET",The Climate Scientist Fossil-Fuel Companies Can’t Stand,Gas Markets,Robert Howarth’s research on natural gas exports influenced the White House and exasperated oil and gas executives.
"March 14, 2024 03:31 pm ET",Both Parties Go After Robert Hur's Report on Capitol Hill,PODCAST,"Special counsel Robert Hur received criticism from both Democrats and Republicans when testifying on his report on Joe Biden's mishandling of classified documents.  Did Democrats do a disservice to the President by focusing on Hur's observations about Biden's memory and fitness instead of the lack of an indictment?  Plus, Joe Biden comes out against Nippon Steel's attempted purchase of U.S. Steel."
"March 14, 2024 04:02 am ET",Shell to Slow Pace of Carbon-Emission Cuts,Sustainable Business,Anglo-Dutch energy heavyweight said it now targets a 15%-20% reduction by 2030 in the net carbon intensity of the energy products it sells.
"March 13, 2024 10:00 am ET",Biggest Gains in Financial Strength in the Management Top 250,Journal Reports: Leadership,"Royal Caribbean heads the list, followed by Cheniere Energy and MetLife"
"March 11, 2024 06:00 am ET",Elliott Bets $500 Million on Gas Producer Backed by Quantum,Pro PE Fund News,Paul Singer’s Elliott Investment is plowing money into a $1.6 billion continuation fund that lets Quantum Capital retain HG Energy as an investment.
"February 25, 2024 07:00 am ET",Natural Gas Hasn’t Been This Cheap in Decades,Gas Markets,The lowest inflation-adjusted prices in at least 34 years have drillers throttling down from record production.
"February 23, 2024 06:51 pm ET",Corrections & Amplifications,Corrections,"Corrections & Amplifications for the edition of Feb. 24, 2024"
"February 22, 2024 08:23 pm ET",Woodside to Sell Scarborough JV Stake to Japan’s Jera,Business,Woodside Energy said it has agreed to sell 15.1% of the venture developing the Scarborough natural-gas field offshore Australia to Japan’s Jera for $1.4 billion as part of a broader strategic relationship.
"February 22, 2024 01:14 pm ET",Opinion: LNG Export Ban Is Atrocious Politics for Democrats,Commentary,It’s bad policy and a betrayal of working-class voters who are crucial to Biden’s re-election.
"February 21, 2024 12:01 am ET",U.S. Renewable Power Growth Is Setting New Records on the Back of Federal Support,Sustainable Business,Wind and solar power are projected to become more popular than gas in replacing coal.
"February 20, 2024 07:00 am ET",How India Became the World’s Most Nimble Energy Buyer,Heard on the Street,"With a rapidly growing population and economy, India is thirsty for oil and natural gas—at the right price."
"February 18, 2024 05:30 am ET",How War in Europe Boosts the U.S. Economy,The Outlook,European rearmament and American aid to Ukraine are flowing back to the defense industrial base.
"February 16, 2024 09:50 am ET",Opinion: The Example of Alexei Navalny’s Courage,Review & Outlook,"Vladimir Putin thinks he can kill opponents with impunity, and he knows he must to retain power."
"February 15, 2024 06:32 pm ET",Opinion: Biden’s LNG ‘Gift’ to Vladimir Putin,Review & Outlook,Russian media are thrilled by the U.S. natural gas export ban.
"February 14, 2024 06:41 pm ET",Opinion: Wyoming Hits the Rare-Earth Mother Lode,Commentary,"If managed wisely, the discovery at Halleck Creek will make the U.S. the world’s indispensable mineral supplier."
"February 14, 2024 06:38 pm ET",Opinion: Slow Growth Is Ahead Unless Government Gets Out of the Way,Commentary,The rise of regulatory activism and the adoption of multilateral edicts may hold America back.
"February 14, 2024 04:06 am ET",Shell Sees LNG Demand Up at Least 50% by 2040,Business,"Shell said it expected global demand for liquefied natural gas to grow beyond 2040, driven by industry in China and economic development in South and Southeast Asia."
"February 11, 2024 07:00 am ET",Caught in Biden’s Natural-Gas Export Fight: Your Utility Bill,Commodities,The export boom has hitched U.S. prices to volatile global markets.
