Timestamp,Title,Theme,Summary
2024-04-05,Shell Sees Gas Output Above Guidance,Europe,Shell said it expects first quarter gas production to beat its previous guidance after a strong start to the year but earnings would be lower than the prior quarter.
2024-04-02,Natural Gas Pioneer Charif Souki Ordered to Pay $100 Million in Damages to Lenders,Pro Bankruptcy,"The ruling stems from disputes with lenders who seized Souki’s assets, including his Colorado ranch, yacht and his shares in Tellurian, a Houston-based gas company he co-founded."
2024-03-31,Opinion: Green Shareholders Try to Sabotage America’s Energy Industry,Commentary,A wave of destructive proposals began after a 2020 briefing to the Biden transition team.
2024-03-31,The Climate Scientist Fossil-Fuel Companies Can’t Stand,Gas Markets,Robert Howarth’s research on natural gas exports influenced the White House and exasperated oil and gas executives.
2024-03-14,Both Parties Go After Robert Hur's Report on Capitol Hill,PODCAST,"Special counsel Robert Hur received criticism from both Democrats and Republicans when testifying on his report on Joe Biden's mishandling of classified documents.  Did Democrats do a disservice to the President by focusing on Hur's observations about Biden's memory and fitness instead of the lack of an indictment?  Plus, Joe Biden comes out against Nippon Steel's attempted purchase of U.S. Steel."
2024-03-14,Shell to Slow Pace of Carbon-Emission Cuts,Sustainable Business,Anglo-Dutch energy heavyweight said it now targets a 15%-20% reduction by 2030 in the net carbon intensity of the energy products it sells.
2024-03-13,Biggest Gains in Financial Strength in the Management Top 250,Journal Reports: Leadership,"Royal Caribbean heads the list, followed by Cheniere Energy and MetLife"
2024-03-11,Elliott Bets $500 Million on Gas Producer Backed by Quantum,Pro PE Fund News,Paul Singer’s Elliott Investment is plowing money into a $1.6 billion continuation fund that lets Quantum Capital retain HG Energy as an investment.
2024-02-25,Natural Gas Hasn’t Been This Cheap in Decades,Gas Markets,The lowest inflation-adjusted prices in at least 34 years have drillers throttling down from record production.
2024-02-23,Corrections & Amplifications,Corrections,"Corrections & Amplifications for the edition of Feb. 24, 2024"
2024-02-22,Woodside to Sell Scarborough JV Stake to Japan’s Jera,Business,Woodside Energy said it has agreed to sell 15.1% of the venture developing the Scarborough natural-gas field offshore Australia to Japan’s Jera for $1.4 billion as part of a broader strategic relationship.
2024-02-22,Opinion: LNG Export Ban Is Atrocious Politics for Democrats,Commentary,It’s bad policy and a betrayal of working-class voters who are crucial to Biden’s re-election.
2024-02-21,U.S. Renewable Power Growth Is Setting New Records on the Back of Federal Support,Sustainable Business,Wind and solar power are projected to become more popular than gas in replacing coal.
2024-02-20,How India Became the World’s Most Nimble Energy Buyer,Heard on the Street,"With a rapidly growing population and economy, India is thirsty for oil and natural gas—at the right price."
2024-02-18,How War in Europe Boosts the U.S. Economy,The Outlook,European rearmament and American aid to Ukraine are flowing back to the defense industrial base.
2024-02-16,Opinion: The Example of Alexei Navalny’s Courage,Review & Outlook,"Vladimir Putin thinks he can kill opponents with impunity, and he knows he must to retain power."
2024-02-15,Opinion: Biden’s LNG ‘Gift’ to Vladimir Putin,Review & Outlook,Russian media are thrilled by the U.S. natural gas export ban.
2024-02-14,Opinion: Wyoming Hits the Rare-Earth Mother Lode,Commentary,"If managed wisely, the discovery at Halleck Creek will make the U.S. the world’s indispensable mineral supplier."
2024-02-14,Opinion: Slow Growth Is Ahead Unless Government Gets Out of the Way,Commentary,The rise of regulatory activism and the adoption of multilateral edicts may hold America back.
2024-02-14,Shell Sees LNG Demand Up at Least 50% by 2040,Business,"Shell said it expected global demand for liquefied natural gas to grow beyond 2040, driven by industry in China and economic development in South and Southeast Asia."
2024-02-11,Caught in Biden’s Natural-Gas Export Fight: Your Utility Bill,Commodities,The export boom has hitched U.S. prices to volatile global markets.
2024-02-08,"Special Counsel Says Biden Knowingly Kept, Shared Classified Documents",PODCAST,"P.M. Edition for Feb. 8. Special counsel Robert Hur concluded President Biden was sloppy in holding on to classified material that he knowingly kept and shared while a private citizen. Biden will not face criminal charges. And the Supreme Court expresses skepticism over a challenge to Donald Trump’s ballot eligibility. Supreme Court correspondent Jess Bravin has more. Plus, energy reporter Benoît Morenne explains how billionaire donors including the Rockefellers swayed the White House on LNG exports. Annmarie Fertoli hosts."
2024-02-08,"Special Counsel Says Biden Knowingly Kept, Shared Classified Documents",PODCAST,"P.M. Edition for Feb. 8. Special counsel Robert Hur concluded President Biden was sloppy in holding on to classified material that he knowingly kept and shared while a private citizen. Biden will not face criminal charges. And the Supreme Court expresses skepticism over a challenge to Donald Trump’s ballot eligibility. Supreme Court correspondent Jess Bravin has more. Plus, energy reporter Benoît Morenne explains how billionaire donors including the Rockefellers swayed the White House on LNG exports. Annmarie Fertoli hosts."
2024-02-08,Opinion: Special Counsel: Biden Too Forgetful to Prosecute,Best of the Web,The Justice Department mounts a defense of the president’s mishandling of classified information.
2024-02-08,Opinion: Net Zero Becomes All Dissonance and No Cognition,Political Economics,Politicians have trapped themselves into waging a crusade voters say they want but won’t pay for.
2024-02-08,How the Rockefellers and Billionaire Donors Pressed Biden on LNG Exports,Gas Markets,The president’s decision to halt new export terminals follows a campaign by environmental groups funded by wealthy contributors.
2024-02-07,"Biden Gets Easy Win in Nevada, but Progressives’ Backing Falters",PODCAST,"A.M. Edition for Feb. 7. Nikki Haley suffers an embarrassing defeat in Nevada’s primary while Biden scores—though the WSJ’s Tarini Parti says cracks are beginning to emerge between the president and progressives, threatening his chances of re-election. Plus, a surplus of new housing is driving down rents–but only for the wealthiest renters. And, ESPN, Fox and Warner strike a streaming deal that will reshape the sports landscape. Luke Vargas hosts."
2024-02-07,Biden Easily Wins Nevada Primary as Haley Suffers Symbolic Loss,PODCAST,"Plus: Merger talks that would have created a $57 billion natural gas giant fall apart. And ESPN, Fox and Warner strike a deal that will reshape sports streaming. Luke Vargas hosts."
