date,title,summary,price,vol_annual
2020-04-17,Fall of Natural Gas Prices Speeds Energy Shift in East Asia,"When natural gas became as cheap as coal in the U.S., it spawned an energy transformation that drove many companies out of business while generating opportunities for others. East Asia’s biggest economies are now going through the same upheaval.",2.186,1.1036343659391528
2020-04-20,Coronavirus Contract Disputes Start Hitting the Courts,Companies are suspending or terminating business agreements by relying on a common but rarely invoked escape hatch in many commercial contracts.,2.175,1.1124471229414925
2020-04-21,Shell Delays $1 Billion North Sea Development,"Royal Dutch Shell has postponed its Jackdaw natural-gas field development in the North Sea, as energy companies slash spending in response to plummeting prices.",2.04,1.1231060545488356
2020-04-27,Ship Orders Crash as Coronavirus Takes a Toll on Seaborne Trade,"The economic fallout from coronavirus restrictions helped cut investment in shipbuilding to its lowest level in 11 years in the first quarter, with work at Asian shipyards nearly halted and owners holding back on orders as global demand for goods nosedived.",1.9,1.1677863259612222
2020-05-21,A Natural Gas Exec Turned His Colorado Ranch Into a ‘Mini Country Club.’ Now He’s Selling It for $220 Million.,"Egypt-born entrepreneur Charif Souki invested many millions into the 813-acre property, which includes a gym, a clubhouse and seven homes.",2.125,1.276431111500736
2020-05-28,Global Glut Keeps a Lid on Natural-Gas Prices,"Mild May weather has limited domestic demand, brimming storage facilities abroad have reduced exports and the flow from oil wells hasn’t declined by as much as expected.",1.938,1.311738285669993
2020-05-29,Natural Gas Is Losing Its Shine for Ship Operators,"The pandemic is hitting the market for natural gas hard, undercutting hopes for a rich new vein for profits on the water. It is making the business of transporting liquefied natural gas look more like other sectors that have been sending operators of oceangoing cargo ships through wild peaks and valleys.",1.938,1.320039116467188
2020-06-04,America’s Natural-Gas Woes Are Imported,Natural-gas inventories are bulging before summer has begun and neither domestic supply nor demand is the reason.,2.025,1.350462312279339
2020-06-15,"As Turkey Shunned Russian Gas, Its Companies Amassed Debt","A string of Turkish companies have accumulated debt of about $2 billion to Russian state energy giant PAO Gazprom, according to people familiar with the matter, liability that could hinder Ankara’s drive to reduce its reliance on Russian natural gas, in part by boosting imports from the U.S.",2.1,1.3959353453720489
2020-06-30,"Shell Takes $22 Billion Write-Down, Expecting Lower Oil and Gas Prices",Royal Dutch Shell is writing down the value of its assets by up to $22 billion because of lower energy prices following the demand-sapping coronavirus pandemic.,2.15,1.4521123654643946
