Date,displace_ratio_20,displace_ratio_40,displace_ratio_60,zero_crossings_10,zero_crossings_20,zero_crossings_40,zero_crossings_60,y_n1,y_n5,y_n10,y_n20,y_label_n1,y_label_n5,y_label_n10,y_label_n20,hurst_simplify_random_walk,hurst_notsimplify_random_walk,hurst_simplify_price,hurst_notsimplify_price,hurst_simplify_change,hurst_notsimplify_change,mom_5d,mom_20d,mom_90d,mom_150d
2017-01-03,,,,,,,,0.0,-0.0051413995004190305,-0.1823215567939549,-0.2491190377174708,False,False,False,False,,,,,,,,,,
2017-01-04,,,,,,,,0.0,-0.020726130517116914,-0.19470561599367642,-0.2623642644674913,False,False,False,False,,,,,,,,,,
2017-01-05,,,,,,,,-0.0051413995004190305,-0.020726130517116914,-0.20724496524641145,-0.2623642644674913,False,False,False,False,,,,,,,,,,
2017-01-06,,,,,,,,0.0,-0.026111144003685638,-0.20210356574599242,-0.25722286496707225,False,False,False,False,,,,,,,,,,
2017-01-09,,,,,,,,0.0,-0.15587037070678456,-0.20210356574599242,-0.2639118531178686,False,False,False,False,,,,,,,,,,
2017-01-10,,,,,,,,-0.015584731016697884,-0.17718015729353587,-0.20210356574599242,-0.2740299832834534,False,False,False,False,,,,,,,-0.0051413995004190305,,,
2017-01-11,,,,,,,,0.0,-0.1739794854765595,-0.1992174180664219,-0.2584452522667555,False,False,False,False,,,,,,,-0.020726130517116914,,,
2017-01-12,,,,,,,,-0.010526412986987754,-0.18651883472929454,-0.1960276226983222,-0.2789939204941432,False,False,False,False,,,,,,,-0.020726130517116914,,,
2017-01-13,,,,,,,,-0.12975922670309892,-0.17599242174230678,-0.1983218981403958,-0.27541197985996657,False,False,False,False,,,,,,,-0.026111144003685638,,,
2017-01-16,,,,0.1,,,,-0.02130978658675131,-0.046233195039207864,-0.06856267143729688,-0.14565275315686765,False,False,False,False,,,,,,,-0.15587037070678456,,,
2017-01-17,,,,0.1,,,,-0.01238405919972152,-0.024923408452456552,-0.0667974809235159,-0.13485094416853127,False,False,False,False,,,,,,,-0.17718015729353587,,,
2017-01-18,,,,0.1,,,,-0.012539349252735033,-0.0252379325898624,-0.06765864847381486,-0.21848153820839844,False,False,False,False,,,,,,,-0.1739794854765595,,,
2017-01-19,,,,0.1,,,,0.0,-0.009508787969027654,-0.05511929922107983,-0.22156750685874438,False,False,False,False,,,,,,,-0.18651883472929454,,,
2017-01-20,,,,0.1,,,,0.0,-0.02232947639808902,-0.05511929922107983,-0.22156750685874438,False,False,False,False,,,,,,,-0.17599242174230678,,,
2017-01-23,,,,0.1,,,,0.0,-0.02232947639808902,-0.06180828737187616,-0.23744085601503429,False,False,False,False,,,,,,,-0.046233195039207864,,,
2017-01-24,,,,0.1,,,,-0.012698583337127367,-0.04187407247105934,-0.07192641753746098,-0.23744085601503429,False,False,False,False,,,,,,,-0.024923408452456552,,,
2017-01-25,,,,0.1,,,,0.0031897953680997126,-0.042420715883952465,-0.05922783420033362,-0.23681485391217616,True,False,False,False,,,,,,,-0.0252379325898624,,,
2017-01-26,,,,0.1,,,,-0.012820688429061367,-0.04561051125205218,-0.08296629779582099,-0.24000464928027587,False,False,False,False,,,,,,,-0.009508787969027654,,,
2017-01-27,,,,0.1,,,,0.0,-0.03278982282299081,-0.07709008171957077,-0.2271839608512145,False,False,False,False,,,,,,,-0.02232947639808902,,,
2017-01-31,-0.9756097560975615,,,0.1,0.05,,,-0.01954459607297032,-0.03947881097378714,-0.07709008171957077,-0.23940407218599002,False,False,False,False,,,,,,,-0.02232947639808902,,,
